id,language,subject,question,A,B,C,D,answer_letter
1,as,abstract_algebra,"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",0,4,2,6,B
1,bn,abstract_algebra,"কিউ-এর উপর প্রদত্ত ক্ষেত্র সম্প্রসারণ কিউ (২, ৩, ১৮)-এর মাত্রা নির্ণয় করুন।",0,4,2,6,B
1,en,abstract_algebra,"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",0,4,2,6,B
1,gu,abstract_algebra,"Q પર આપેલ ક્ષેત્ર વિસ્તરણ Q (સ્ક્વેરમૂળ 2, સ્ક્વેરમૂળ 3, સ્ક્વેરમૂળ 18) માટે ડિગ્રી શોધો.",0,4,2,6,B
1,hi,abstract_algebra,"Q पर दिए गए क्षेत्र विस्तार Q (वर्गमूल 2, वर्गमूल 3, वर्गमूल 18) की घात ज्ञात कीजिए।",0,4,2,6,B
1,kn,abstract_algebra,"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",0,4,2,6,B
1,kok,abstract_algebra,"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",0,4,2,6,B
1,ml,abstract_algebra,"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",0,4,2,6,B
1,mni,abstract_algebra,"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",0,4,2,6,B
1,mr,abstract_algebra,"क्यू वर दिलेल्या क्षेत्र विस्तार क्यू (वर्गमूळ २, वर्गमूळ ३, वर्गमूळ १८) साठी अंश शोधा.",0,4,2,6,B
1,ne,abstract_algebra,"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",0,4,2,6,B
1,or,abstract_algebra,"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",0,4,2,6,B
1,pa,abstract_algebra,"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",0,4,2,6,B
1,ta,abstract_algebra,"Q-க்கு மேலான Q(√2, √3, √18) என்ற கொடுக்கப்பட்ட கள விரிவாக்கத்தின் படிநிலையைக் கண்டறியவும்.",0,4,2,6,B
1,te,abstract_algebra,"Q పై ఇచ్చిన క్షేత్ర విస్తరణ Q (స్క్వేర్ రూట్ ఆఫ్ 2, స్క్వేర్ రూట్ ఆఫ్ 3, స్క్వేర్ రూట్ ఆఫ్ 18) యొక్క డిగ్రీని కనుగొనండి.",0,4,2,6,B
1,ur,abstract_algebra,"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",0,4,2,6,B
2,as,abstract_algebra,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",8,2,24,120,C
2,bn,abstract_algebra,"ধরা যাক S_5-এ p = (1, 2, 5, 4)(2, 3)। S_5-এ <p> এর সূচক নির্ণয় করুন।",8,2,24,120,C
2,en,abstract_algebra,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",8,2,24,120,C
2,gu,abstract_algebra,"ધારો કે p = (1, 2, 5, 4)(2, 3) એ S_5 માં છે. તો S_5 માં <p> નો ઇન્ડેક્સ શોધો.",8,2,24,120,C
2,hi,abstract_algebra,"S_5 में मान लीजिए कि p = (1, 2, 5, 4)(2, 3)। S_5 में <p> का सूचकांक ज्ञात कीजिए।",8,2,24,120,C
2,kn,abstract_algebra,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",8,2,24,120,C
2,kok,abstract_algebra,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",8,2,24,120,C
2,ml,abstract_algebra,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",8,2,24,120,C
2,mni,abstract_algebra,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",8,2,24,120,C
2,mr,abstract_algebra,"S_5 मध्ये p = (1, 2, 5, 4)(2, 3) आहे. S_5 मध्ये <p> चा निर्देशांक शोधा.",8,2,24,120,C
2,ne,abstract_algebra,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",8,2,24,120,C
2,or,abstract_algebra,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",8,2,24,120,C
2,pa,abstract_algebra,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",8,2,24,120,C
2,ta,abstract_algebra,"S_5 இல் p = (1, 2, 5, 4)(2, 3) என இருக்கட்டும். S_5 இல் உள்ள <p> இன் சுட்டியிடத்தைக் கண்டுபிடிக்கவும்.",8,2,24,120,C
2,te,abstract_algebra,"S_5 లో p = (1, 2, 5, 4)(2, 3) అనుకుందాం. S_5 లో <p> యొక్క సూచికను కనుగొనండి.",8,2,24,120,C
2,ur,abstract_algebra,"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",8,2,24,120,C
3,as,abstract_algebra,Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,0,1,"0,1","0,4",D
3,bn,abstract_algebra,Z_5 এর x^5 + 3x^3 + x^2 + 2x এই বহুপদীর সকল শূন্য নির্ণয় করুন।,0,1,"0,1","0,4",D
3,en,abstract_algebra,Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,0,1,"0,1","0,4",D
3,gu,abstract_algebra,"આપેલ બહુપદીના દર્શાવેલ મર્યાદિત ક્ષેત્રમાં, જે ક્ષેત્રના સહગુણકો છે, તે બધા શૂન્યો શોધો. x^5 + 3x^3 + x^2 + 2x Z_5 માં",0,1,"0,1","0,4",D
3,hi,abstract_algebra,दिए गए बहुपद के उस क्षेत्र में गुणांकों वाले परिमित क्षेत्र में सभी शून्य ज्ञात कीजिए। x5+3x3+x2+2x Z5,0,1,"0,1","0,4",D
3,kn,abstract_algebra,Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,0,1,"0,1","0,4",D
3,kok,abstract_algebra,Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,0,1,"0,1","0,4",D
3,ml,abstract_algebra,Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,0,1,"0,1","0,4",D
